eventDate,dateIdentified,decimalLatitude,decimalLongitude,kingdom,class,family,genus,species,license,coordinateUncertaintyInMeters
2004-04-18,,43.53726,4.76251,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2500.0
2004-11-01,,44.42721,0.58317,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2004-11-01,,44.4468,0.54912,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2004-11-08,,48.47746,2.19831,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2005-06-04,,44.50636,0.45203,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2005-06-04,,44.5339,0.41941,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2005-08-01,,44.50536,0.17216,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4834.0
2005-08-01,,44.52773,0.16786,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2005-09-01,,44.20283,0.62573,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2527.0
2005-09-01,,44.17959,0.68577,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2005-11-01,,44.50536,0.17216,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4834.0
2005-11-01,,44.13197,0.3434,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,5404.0
2005-11-01,,44.17104,0.31077,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2005-11-01,,44.52773,0.16786,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2005-12-31,,44.8796,-0.68159,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2005-12-31,,44.86134,-0.73589,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-01-01,,44.40595,0.60033,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4001.0
2006-01-01,,44.35682,0.55301,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-01-20,,44.093,0.4999,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2941.0
2006-01-20,,44.08407,0.43981,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-02-12,,44.35654,0.59166,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3305.0
2006-06-01,,44.46094,-0.55291,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2006-06-01,,44.44575,-0.5619,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2006-06-01,,44.41863,-0.55471,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2006-06-01,,44.83232,-0.68186,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,5906.0
2006-06-01,,44.37114,0.3861,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4567.0
2006-06-01,,44.41586,-0.58073,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-01,,44.41586,-0.58073,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-01,,44.41586,-0.58073,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-01,,44.86134,-0.73589,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-01,,44.35396,0.42761,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-28,,44.41037,0.67005,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2342.0
2006-06-28,,44.34037,0.72042,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2622.0
2006-06-28,,44.37023,0.6981,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3514.0
2006-06-28,,44.54906,0.29181,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4112.0
2006-06-28,,44.44952,0.67473,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-28,,44.35954,0.67842,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-28,,44.35954,0.67842,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-06-28,,44.53089,0.29363,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.93333,-0.7483,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4018.0
2006-07-01,,44.40595,0.60033,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4001.0
2006-07-01,,44.44992,-0.38106,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2430.0
2006-07-01,,44.53726,-0.24125,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2822.0
2006-07-01,,44.37141,0.2787799999999999,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2085.0
2006-07-01,,44.27752,0.75651,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3748.0
2006-07-01,,44.39808,0.26612,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2320.0
2006-07-01,,44.16453,0.82751,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2655.0
2006-07-01,,44.42374,-0.32977,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.18216,0.8108,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.35682,0.55301,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.95127,-0.74188,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.27213,0.80733,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.44092,0.29794,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.35096,0.30223,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-01,,44.51741,-0.20936,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5000.0
2006-07-14,,45.05539,1.5842,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2006-08-01,,44.41821,0.39476,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2944.0
2006-08-01,,44.65444,0.24405,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2112.0
2006-08-01,,44.40595,0.60033,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4001.0
2006-08-01,,44.85761,-0.57339,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,5832.0
2006-08-01,,45.18742,0.55257,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3096.0
2006-08-01,,45.22088,0.72465,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2591.0
2006-08-01,,43.28607,0.03623,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2867.0
2006-08-01,,44.4911,0.14844,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,
2006-08-01,,43.66791,-1.41238,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3096.0
2006-08-01,,44.6502,0.08105,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3000.0
2006-08-01,,45.20165,-0.68648,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4331.0
2006-08-01,,43.59526,-1.42959,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3681.0
2006-08-01,,44.64956,0.33166,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2566.0
2006-08-01,,44.54519,-0.2129,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2523.0
2006-08-01,,44.56499,0.0609,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2085.0
2006-08-01,,44.58801,0.07905,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3165.0
2006-08-01,,44.21631,0.89353,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3154.0
2006-08-01,,44.72389,-0.7271,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,8090.0
2006-08-01,,44.84395,-0.39323,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2513.0
2006-08-01,,44.37023,0.6981,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3514.0
2006-08-01,,44.91686,-0.42774,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3000.0
2006-08-01,,44.55804,-1.17478,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,12994.0
2006-08-01,,45.14612,-0.53802,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2668.0
2006-08-01,,44.19366,0.5944,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3593.0
2006-08-01,,44.71895,0.39449,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4551.0
2006-08-01,,44.33264,0.40426,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3927.0
2006-08-01,,44.25385,0.63712,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4566.0
2006-08-01,,44.87338,-0.67766,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,10.0
2006-08-01,,44.50536,0.17216,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,4834.0
2006-08-01,,44.40902,-1.17708,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,10041.0
2006-08-01,,44.89807,-0.11979,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,1873.0
2006-08-01,,44.37023,0.6981,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3514.0
2006-08-01,,44.74381,0.23592,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2490.0
2006-08-01,,44.83232,-0.68186,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,5906.0
2006-08-01,,43.49233,-1.46603,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,3752.0
2006-08-01,,43.69913,-0.26467,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,6404.0
2006-08-01,,45.51977,-0.47214,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2619.0
2006-08-01,,44.81428,0.66885,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,2635.0
2006-08-01,,44.70345,-0.45958,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,1981.0
2006-08-01,,44.79165,-0.6765,Animalia,Insecta,Vespidae,Vespa,Vespa velutina,http://creativecommons.org/licenses/by/4.0/legalcode,6328.0
