event-id,visible,timestamp,location-long,location-lat,bar:barometric-pressure,external-temperature,gps:dop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,location-error-numerical,manually-marked-outlier,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
20432407608,true,2018-05-09 14:59:05.000,6.5815293,53.0082323,,36.0,3.2,5,7.9,0.454103450855601,271.6414933088042,5.0,false,5.3,false,8.6,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407611,true,2018-05-09 15:28:58.000,6.5790905,53.0076842,,36.7,2.7,5,9.1,0.639463588217794,278.7644528034907,-2.0,false,9.0,false,12.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407614,true,2018-05-09 15:58:50.000,6.5793442,53.0076316,,36.7,2.1,5,9.2,0.226565886384395,266.7681437041085,4.0,false,7.7,false,8.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407617,true,2018-05-09 16:29:54.000,6.5790941,53.0077016,,33.3,4.8,5,65.1,0.06908260022866,215.113917169617,-1.0,false,8.5,false,12.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407620,true,2018-05-09 16:59:53.000,6.5808036,53.0083702,,37.6,4.3,5,8.5,1.06305227469624,305.2519082650857,14.0,false,8.6,false,9.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407623,true,2018-05-09 17:30:07.000,6.5806702,53.0084116,,29.5,1.7,9,30.6,0.0122617505001248,16.283424623122,8.0,false,2.5,false,5.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407626,true,2018-05-09 17:59:52.000,6.5804425,53.008483,,31.7,1.7,9,8.1,0.0401323490321325,270.6320111313117,6.0,false,2.9,false,4.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407631,true,2018-05-09 18:59:50.000,6.5812693,53.0084757,,31.9,1.5,8,6.5,0.21901523845471,130.789648618603,9.0,false,8.8,false,9.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407634,true,2018-05-09 19:29:47.000,6.5811764,53.0085249,,30.2,1.9,6,11.7,1.44772073350835,302.4893264460376,7.0,false,21.4,false,10.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407637,true,2018-05-09 20:00:06.000,6.5907005,53.0074018,,27.0,2.1,8,22.7,0.0418766354271474,35.1395722560061,6.0,false,3.5,false,4.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407640,true,2018-05-09 20:30:05.000,6.5905302,53.0075539,,30.4,4.8,6,13.9,0.702203663818262,233.464980041764,19.0,false,29.2,false,37.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407643,true,2018-05-09 20:59:59.000,6.5905151,53.00743,,29.3,2.2,6,16.1,0.174168443503323,303.5629980278327,11.0,false,18.8,false,27.0,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407646,true,2018-05-09 21:30:16.000,6.5907492,53.0073885,,27.3,1.8,8,9.4,0.856817571765716,312.9079012250236,11.0,false,8.2,false,11.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407649,true,2018-05-09 22:00:07.000,6.5906792,53.0072399,,29.0,1.9,7,8.6,1.8206644482296,223.806074858782,4.0,false,10.2,false,15.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407652,true,2018-05-09 22:29:59.000,6.589887,53.0075587,,28.6,1.7,7,8.8,11.8401241907787,274.4844281301498,16.0,false,8.6,false,5.8,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407655,true,2018-05-09 22:59:50.000,6.581003,53.0092544,,26.2,5.0,5,7.9,5.36826081697888,288.5378235223672,6.0,false,20.2,false,9.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407658,true,2018-05-09 23:30:30.000,6.5792414,53.0088263,,27.1,1.8,9,39.9,0.0750752652328889,14.1337570977572,10.0,false,2.6,false,3.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407661,true,2018-05-10 00:00:20.000,6.579225,53.0088256,,26.7,1.9,8,6.5,0.245504778822366,351.85081506904316,10.0,false,3.1,false,3.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407664,true,2018-05-10 00:30:14.000,6.5790546,53.0088509,,26.3,2.0,7,8.7,0.141259396518203,185.750118590543,14.0,false,8.2,false,7.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407667,true,2018-05-10 01:00:21.000,6.5790887,53.0088273,,28.1,1.6,7,7.9,0.0718607385030772,14.4471213093098,8.0,false,5.7,false,5.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407670,true,2018-05-10 01:30:13.000,6.579273,53.0088069,,26.3,5.0,5,8.1,2.10818537317269,352.67681899509705,9.0,false,11.1,false,7.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407673,true,2018-05-10 02:00:36.000,6.5818761,53.0094043,,24.5,2.5,6,26.4,0.074344383792248,239.122792188917,3.0,false,3.0,false,3.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
